play_id,game_id,season,week,home_team,away_team,posteam,defteam,play_type,pass,rush,yards_gained,epa,success,air_yards,complete_pass,interception,sack,penalty,down,ydstogo,yardline_100,qtr,half_seconds_remaining,score_differential,wp,wpa,passer_id,rusher_id,receiver_id
1,2025_01_ARI_NO,2025,1,NO,ARI,NA,NA,NA,0,0,NA,-0,0,NA,NA,NA,NA,NA,NA,0,NA,1,1800,NA,0.4332079589366913,-0,NA,NA,NA
40,2025_01_ARI_NO,2025,1,NO,ARI,ARI,NO,kickoff,0,0,0,-0.35269966581836343,0,NA,0,0,0,0,NA,0,35,1,1800,0,0.4332079589366913,7.008612155914307e-4,NA,NA,NA
63,2025_01_ARI_NO,2025,1,NO,ARI,ARI,NO,run,0,1,3,-0.19005232071503997,0,NA,0,0,0,0,1,10,78,1,1796,0,0.4339088201522827,-0.014004766941070557,NA,00-0033553,NA
85,2025_01_ARI_NO,2025,1,NO,ARI,ARI,NO,pass,1,0,11,1.3173398058861494,1,3,1,0,0,0,2,7,75,1,1758,0,0.41990405321121216,0.03499534726142883,00-0035228,NA,00-0037744
115,2025_01_ARI_NO,2025,1,NO,ARI,ARI,NO,pass,1,0,-11,-1.6943599595688283,0,NA,0,0,1,0,1,10,64,1,1720,0,0.454899400472641,-0.050684213638305664,00-0035228,NA,NA
135,2025_01_ARI_NO,2025,1,NO,ARI,ARI,NO,run,0,1,-2,-1.2841495387256145,0,NA,0,0,0,0,2,21,75,1,1677,0,0.4042151868343353,-0.024458080530166626,NA,00-0033553,NA
166,2025_01_ARI_NO,2025,1,NO,ARI,ARI,NO,run,0,1,1,-0.8405737169086933,0,NA,0,0,0,0,3,23,77,1,1634,0,0.3797571063041687,-0.03671497106552124,NA,00-0039921,NA
188,2025_01_ARI_NO,2025,1,NO,ARI,ARI,NO,punt,0,0,0,0.6505886446684599,1,NA,0,0,0,0,4,22,76,1,1599,0,0.34304213523864746,0.043583810329437256,NA,NA,NA
214,2025_01_ARI_NO,2025,1,NO,ARI,NO,ARI,run,0,1,3,-0.19472784269601107,0,NA,0,0,0,0,1,10,77,1,1587,0,0.6133740544319153,-0.011112213134765625,NA,00-0033906,NA
243,2025_01_ARI_NO,2025,1,NO,ARI,NO,ARI,pass,1,0,0,-0.7885269890539348,0,2,0,0,0,0,2,7,74,1,1555,0,0.6022618412971497,-0.025219261646270752,00-0039376,NA,00-0037545
266,2025_01_ARI_NO,2025,1,NO,ARI,NO,ARI,pass,1,0,0,-1.545795965474099,0,14,0,0,0,0,3,7,74,1,1551,0,0.5770425796508789,-0.028037667274475098,00-0039376,NA,NA
289,2025_01_ARI_NO,2025,1,NO,ARI,NO,ARI,punt,0,0,0,-0.43632369535043836,0,NA,0,0,0,0,4,7,74,1,1546,0,0.5490049123764038,0.002341926097869873,NA,NA,NA
327,2025_01_ARI_NO,2025,1,NO,ARI,ARI,NO,pass,1,0,5,0.04106551385484636,1,-3,1,0,0,0,1,10,66,1,1534,0,0.4486531615257263,-0.006682336330413818,00-0035228,NA,00-0037744
359,2025_01_ARI_NO,2025,1,NO,ARI,ARI,NO,run,1,0,13,1.1335498166736215,1,NA,0,0,0,0,2,5,61,1,1506,0,0.4419708251953125,0.03814706206321716,00-0035228,NA,NA
386,2025_01_ARI_NO,2025,1,NO,ARI,ARI,NO,run,0,1,1,-0.4457430567126721,0,NA,0,0,0,0,1,10,48,1,1468,0,0.48011788725852966,-0.018271327018737793,NA,00-0033553,NA
408,2025_01_ARI_NO,2025,1,NO,ARI,ARI,NO,pass,1,0,0,-0.8830860867165029,0,NA,0,0,1,0,2,9,47,1,1435,0,0.46184656023979187,-0.03228291869163513,00-0035228,NA,NA
428,2025_01_ARI_NO,2025,1,NO,ARI,ARI,NO,no_play,1,0,0,2.247559305280447,1,NA,0,0,0,1,3,9,47,1,1391,0,0.42956364154815674,0.10084813833236694,00-0035228,NA,00-0039849
462,2025_01_ARI_NO,2025,1,NO,ARI,ARI,NO,no_play,0,0,0,-0.6315469581168145,0,NA,0,0,0,1,1,10,34,1,1385,0,0.5304117798805237,-0.02966970205307007,NA,NA,NA
486,2025_01_ARI_NO,2025,1,NO,ARI,ARI,NO,pass,1,0,0,-0.6539916452020407,0,NA,0,0,1,0,1,15,39,1,1385,0,0.5007420778274536,-0.013589859008789063,00-0035228,NA,NA
506,2025_01_ARI_NO,2025,1,NO,ARI,ARI,NO,run,0,1,12,1.1524833565345034,1,NA,0,0,0,0,2,15,39,1,1342,0,0.48715221881866455,0.029680371284484863,NA,00-0033553,NA
528,2025_01_ARI_NO,2025,1,NO,ARI,ARI,NO,pass,1,0,5,1.1131692650960758,1,3,1,0,0,0,3,3,27,1,1298,0,0.5168325901031494,0.052353084087371826,00-0035228,NA,00-0038559
553,2025_01_ARI_NO,2025,1,NO,ARI,ARI,NO,run,0,1,3,-0.34259057499002665,0,NA,0,0,0,0,1,10,22,1,1258,0,0.5691856741905212,-0.013595879077911377,NA,00-0033553,NA
575,2025_01_ARI_NO,2025,1,NO,ARI,ARI,NO,pass,1,0,0,-0.6507592702982947,0,4,0,0,0,0,2,7,19,1,1217,0,0.5555897951126099,-0.023719310760498047,00-0035228,NA,00-0039041
598,2025_01_ARI_NO,2025,1,NO,ARI,ARI,NO,no_play,0,0,0,-0.4590134553145617,0,NA,0,0,0,1,3,7,19,1,1214,0,0.5318704843521118,-0.01959151029586792,NA,NA,NA
622,2025_01_ARI_NO,2025,1,NO,ARI,ARI,NO,pass,1,0,0,-1.06060263332055,0,22,0,0,0,0,3,12,24,1,1214,0,0.5122789740562439,-0.04353770613670349,00-0035228,NA,00-0038559
645,2025_01_ARI_NO,2025,1,NO,ARI,ARI,NO,field_goal,0,0,0,0.8597873235501448,1,NA,0,0,0,0,4,12,24,1,1207,0,0.4687412679195404,0.02017119526863098,NA,NA,NA
665,2025_01_ARI_NO,2025,1,NO,ARI,NO,ARI,kickoff,0,0,0,0,0,NA,0,0,0,0,NA,0,35,1,1203,-3,0.5110875368118286,0,NA,NA,NA
695,2025_01_ARI_NO,2025,1,NO,ARI,NO,ARI,pass,1,0,11,0.676772792590782,1,5,1,0,0,0,1,10,75,1,1196,-3,0.5110875368118286,0.029570162296295166,00-0039376,NA,00-0036040
720,2025_01_ARI_NO,2025,1,NO,ARI,NO,ARI,run,0,1,2,-0.5572675869334489,0,NA,0,0,0,0,1,10,64,1,1173,-3,0.5406576991081238,-0.016799509525299072,NA,00-0039376,NA
742,2025_01_ARI_NO,2025,1,NO,ARI,NO,ARI,pass,1,0,13,1.357633666601032,1,13,1,0,0,0,2,8,62,1,1154,-3,0.5238581895828247,0.028866887092590332,00-0039376,NA,00-0037239
773,2025_01_ARI_NO,2025,1,NO,ARI,NO,ARI,no_play,1,0,0,-0.5116124413907528,0,NA,0,0,0,1,1,10,49,1,1119,-3,0.552725076675415,-0.01270359754562378,00-0039376,NA,00-0033906
