season,week,season_type,team,opponent_team,player_id,player_name,position,attempts,completions,passing_yards,passing_tds,passing_interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,passing_air_yards,passing_yards_after_catch,receiving_air_yards,receiving_yards_after_catch
2019,1,REG,IND,LAC,00-0016919,A.Vinatieri,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1,REG,NE,PIT,00-0019596,T.Brady,QB,36,24,341,3,0,0,0,0,0,0,0,0,286,136,0,0
2019,1,REG,NO,HOU,00-0020531,D.Brees,QB,43,32,370,2,1,0,0,0,0,0,0,0,295,134,0,0
2019,1,REG,DAL,NYG,00-0022127,J.Witten,TE,0,0,0,0,0,0,0,0,4,3,15,1,0,0,3,16
2019,1,REG,ARI,DET,00-0022161,T.Suggs,OLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1,REG,NYG,DAL,00-0022803,E.Manning,QB,44,30,306,1,0,1,6,0,0,0,0,0,285,144,0,0
2019,1,REG,ARI,DET,00-0022824,A.Lee,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1,REG,ARI,DET,00-0022921,L.Fitzgerald,WR,0,0,0,0,0,0,0,0,13,8,113,1,0,0,153,16
2019,1,REG,PIT,NE,00-0022924,B.Roethlisberger,QB,47,27,276,0,1,1,7,0,0,0,0,0,465,140,0,0
2019,1,REG,LAC,IND,00-0022942,P.Rivers,QB,34,25,333,3,1,1,6,0,0,0,0,0,234,177,0,0
2019,1,REG,SF,TB,00-0023252,R.Gould,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1,REG,BUF,NYJ,00-0023259,L.Alexander,OLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1,REG,TEN,CLE,00-0023368,C.Wake,LB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1,REG,LAC,IND,00-0023448,T.Davis,OLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1,REG,GB,CHI,00-0023459,A.Rodgers,QB,30,18,203,1,0,3,8,0,0,0,0,0,300,87,0,0
