game_id,season,week,game_type,gameday,home_team,away_team,home_score,away_score,spread_line,total_line,result
2018_01_ATL_PHI,2018,1,REG,2018-09-06,PHI,ATL,18,12,1,44.5,6
2018_01_BUF_BAL,2018,1,REG,2018-09-09,BAL,BUF,47,3,7.5,39,44
2018_01_PIT_CLE,2018,1,REG,2018-09-09,CLE,PIT,21,21,-3.5,41,0
2018_01_CIN_IND,2018,1,REG,2018-09-09,IND,CIN,23,34,-1,47.5,-11
2018_01_TEN_MIA,2018,1,REG,2018-09-09,MIA,TEN,27,20,-1,43.5,7
2018_01_SF_MIN,2018,1,REG,2018-09-09,MIN,SF,24,16,6,46.5,8
2018_01_HOU_NE,2018,1,REG,2018-09-09,NE,HOU,27,20,6,49.5,7
2018_01_TB_NO,2018,1,REG,2018-09-09,NO,TB,40,48,10,50,-8
2018_01_JAX_NYG,2018,1,REG,2018-09-09,NYG,JAX,15,20,-2.5,43,-5
2018_01_KC_LAC,2018,1,REG,2018-09-09,LAC,KC,28,38,3.5,48,-10
2018_01_WAS_ARI,2018,1,REG,2018-09-09,ARI,WAS,6,24,2,43.5,-18
2018_01_DAL_CAR,2018,1,REG,2018-09-09,CAR,DAL,16,8,2.5,42.5,8
2018_01_SEA_DEN,2018,1,REG,2018-09-09,DEN,SEA,27,24,3,42.5,3
2018_01_CHI_GB,2018,1,REG,2018-09-09,GB,CHI,24,23,6.5,45,1
2018_01_NYJ_DET,2018,1,REG,2018-09-10,DET,NYJ,17,48,7,44,-31
2018_01_LA_OAK,2018,1,REG,2018-09-10,OAK,LA,13,33,-6,47.5,-20
2018_02_BAL_CIN,2018,2,REG,2018-09-13,CIN,BAL,34,23,1,43,11
2018_02_CAR_ATL,2018,2,REG,2018-09-16,ATL,CAR,31,24,5.5,44,7
2018_02_LAC_BUF,2018,2,REG,2018-09-16,BUF,LAC,20,31,-7.5,41.5,-11
2018_02_MIN_GB,2018,2,REG,2018-09-16,GB,MIN,29,29,-2,45,0
2018_02_CLE_NO,2018,2,REG,2018-09-16,NO,CLE,21,18,10,51,3
2018_02_MIA_NYJ,2018,2,REG,2018-09-16,NYJ,MIA,12,20,3,43,-8
2018_02_KC_PIT,2018,2,REG,2018-09-16,PIT,KC,37,42,4.5,52,-5
2018_02_PHI_TB,2018,2,REG,2018-09-16,TB,PHI,27,21,-3,46.5,6
2018_02_HOU_TEN,2018,2,REG,2018-09-16,TEN,HOU,20,17,-3.5,41,3
2018_02_IND_WAS,2018,2,REG,2018-09-16,WAS,IND,9,21,6,48,-12
2018_02_ARI_LA,2018,2,REG,2018-09-16,LA,ARI,34,0,13.5,43.5,34
2018_02_DET_SF,2018,2,REG,2018-09-16,SF,DET,30,27,6,48.5,3
