season,week,team,season_type,opponent_team,passing_yards,passing_tds,passing_interceptions,passing_epa,rushing_yards,rushing_tds,rushing_epa,def_sacks,def_interceptions,def_tds,def_fumbles,def_safeties,penalties,penalty_yards,timeouts
2022,1,ARI,REG,KC,205,2,0,-1.1582145034624265,103,1,1.6093396928627044,0,0,0,0,0,5,49,2
2022,1,ATL,REG,NO,215,0,0,5.021303329926311,201,2,-0.7080252392333932,4,0,0,0,0,8,55,6
2022,1,BAL,REG,NYJ,213,3,1,4.239652403625634,63,0,-3.8565872762119398,3,1,0,0,0,5,29,4
2022,1,BUF,REG,LA,297,3,2,13.646457606582526,121,1,-3.651649557519704,7,3,0,0,0,5,35,3
2022,1,CAR,REG,CLE,235,1,1,-1.6186219101946335,54,2,2.3916371844177875,1,0,0,0,0,8,96,4
2022,1,CHI,REG,SF,121,2,1,-1.6956854593008757,99,1,-3.7272746876697056,2,1,0,0,0,3,24,1
2022,1,CIN,REG,PIT,338,2,4,-16.125692450532753,133,0,-4.552216346230125,1,0,0,0,0,4,27,7
2022,1,CLE,REG,CAR,147,1,0,-7.346917288764647,217,1,8.442012805489632,4,1,0,1,0,9,71,6
2022,1,DAL,REG,TB,198,0,1,-20.043329542940292,71,0,-1.5507767101516947,2,1,0,0,0,10,73,4
2022,1,DEN,REG,SEA,340,1,0,15.1618857017008,103,0,-9.784021826810203,2,0,0,0,0,12,106,6
2022,1,DET,REG,PHI,215,2,1,-2.1120760421908926,181,3,10.210879182355711,1,0,0,0,0,7,65,5
2022,1,GB,REG,MIN,260,0,1,-11.937146772979759,111,1,0.6472562649287283,1,0,0,0,0,2,10,5
2022,1,HOU,REG,IND,240,2,0,-6.464837897088398,77,0,-5.302811652130913,2,1,0,0,0,6,40,6
2022,1,IND,REG,HOU,352,1,1,3.004784380851166,177,1,-3.815214450820349,3,0,0,1,0,7,89,5
2022,1,JAX,REG,WAS,275,1,1,-0.8246542957077589,123,1,4.298666787974071,1,2,0,0,0,13,90,5
2022,1,KC,REG,ARI,360,5,0,33.18852514473006,128,1,-1.0484876045084093,3,0,0,0,0,3,25,3
2022,1,LA,REG,BUF,240,1,3,-16.74545282755369,52,0,-1.2681049961829558,2,2,0,0,0,4,30,3
2022,1,LAC,REG,LV,279,3,0,14.943566918718258,76,0,-12.556690368161071,6,3,0,0,0,5,21,2
2022,1,LV,REG,LAC,295,2,3,-7.297522948725512,64,0,-0.6569763558800332,0,0,0,0,0,3,11,3
